client,marketing,verba_mensal_impulsionamento,copy,social_media,n_posts_contratados_estatico_instagram,n_posts_contratados_reels_instagram,n_posts_contratados_feed_linkedin,n_posts_contratados_stories_instagram,n_posts_contratados_feed_facebook,n_posts_contratados_feed_tiktok,url_img_logo,ativo,Impulsionamento,trafego_pago,linkedin,permissoes,fb_ad_account_id,redes_sociais,n_usuario_nstagram,id_instagram,fb_page_id,google_ads_account_id,hashtag_padrao,id_linkedin,n_pecas_contrato,n_producao_de_conteudo,n_finalizacoes_contrato,id_tiktok
1a99,Mariana M. / Maiane,,Catharina,Vitória,16,4,,30,,,https://www.1a99.com.br/wp-content/uploads/2023/07/1a99_logotipo_jpg.webp,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,lojas1a99,17841404300569515,,,#1A99,,4,0,0,
705 Restaurante,Crisler / Guilherme,,Ramon,Thamile,24,6,,30,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-16-2.jpg,TRUE,FALSE,TRUE,FALSE,TRUE,1153344872735364,TRUE,705restauranteebar,17841447811877013,110001198023208,2014742701,#705RestauranteEBar,,,1,,
Aço Atacado ,Paloma / Fabianne / Ana Luísa,,Evelin,Adriele,9,3,,16,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,26,,,
Ademi - BA,Isabela / Gabriela ,200,Evelin,Duda,10,2,12,16,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-29-2.jpg,FALSE,TRUE,TRUE,TRUE,TRUE,197321610993362,TRUE,ademi.ba,17841407462792804,183417645028286,,#AdemiBa,80881771,4,,,
Arena Esportiva,Mariana M. / Maiane,,João / Catharina,Vitória,50,10,,120,,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fm.facebook.com%2Fgrupoarenaesportiva%2F&psig=AOvVaw01xjGrEdfrk9hq-FXe47IL&ust=1707331948712000&source=images&cd=vfe&opi=89978449&ved=0CBIQjRxqFwoTCPj2gamxl4QDFQAAAAAdAAAAABAD,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,grupoarenaesportiva,17841413046481222,,,#ArenaEsportiva,,,,,
ArenaMed,Paloma / Fabianne,,Jéssica,Vitória,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-31-1.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,arenamed.oficial,17841407277802277,200117067412753,,#ArenaMed,,,,,
Banda Eva,Crisler / Guilherme,,Ramon,,9,3,,16,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-41.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,3487025931516312,TRUE,bandaeva,17841401319390488,,,,,,,,
Bienal do Livro Bahia,Mariana M. / Maiane,300,Catharina,Duda,20,8,,20,,8,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-26-2.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,367935218304839,TRUE,bienaldolivrobahia,17841432030509361,208619195834896,,#BienalDoLivroBahia#BienalDoLivroBahia2024,,,,,bienaldolivrobahia
Catharina Paraguaçu ,Mariana Caldas,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,
Cong. Bra. Fígado Pancreas e Vias Biliares,Mariana M. / Maiane,,Jéssica,Daniel,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/04/CBCHPB.jpg,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,,,#Cbchpb,,,,,
Consul,Cândida / Monique ,,Ramon,Duda,6,2,8,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-20-2.jpg,TRUE,TRUE,FALSE,TRUE,TRUE,580510312695737,TRUE,consulengenharia,17841413449440763,107099621634302,,#ConsulEngenharia,15808199,2,,1,
Contijá,Júlia / Paloma,,Jéssica,Daniel,6,2,,12,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,contija_contabilidade,17841459756916340,205485432648333,,#Contijá,,,,,
CREMEB - Chapa 1,,1000,Marlla,Duda,9,3,,16,,,,FALSE,FALSE,FALSE,FALSE,TRUE,255206413790449,TRUE,emdefesadamedicina,17841407716772968,,,,,,,,
Dra. Joana Diniz,Crisler / Guilherme,,Catharina,Adriele,6,2,,16,,,https://www.wolflair.com/wp-content/uploads/2017/01/placeholder.jpg,TRUE,FALSE,TRUE,FALSE,TRUE,647826577190824,TRUE,drajoanadiniz,17841456004673570,101025799695823,,#DraJoanaDiniz,,,,,
Elétrica Bahiana,Paloma / Fabianne / Ana Luísa,300,Evelin,Adriele,9,3,,16,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-5-1.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,474588006987534,TRUE,eletricabahiana,17841404474729319,311201132571216,,#EletricaBahiana,24945625,4,,1,
Enpro,Paloma / Fabianne / Ana Luísa,,Gisele,Thamile,9,3,12,16,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,#ENPRO,66469878,4,,2,
Facilitá Pelinca,Paloma / Fabianne / Ana Luísa,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,797991517383906,FALSE,,,102672442264656,,,,10,,,
Febracan,Crisler / Guilherme,250,Evelin,Daniel,4,1,,6,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-7-1.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,1690929024383620,TRUE,febracanoficial,17841407157788748,17841407157788748,,#Febracan,,,,,
Financeiro Pronto,Júlia / Paloma,,Evelin,Thamile,6,2,,12,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,financeiroprontoo,17841464508048615,247392721782858,,#FinanceiroPronto,,,,,
Guaibim,Beatriz  / Gabriela,,Ramon,Vitória,24,6,,30,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-27.jpg,TRUE,FALSE,FALSE,FALSE,TRUE,454967998638237,TRUE,lojasguaibim,17841400439357511,458285760902702,,#LojasGuaibim,,65,1,,
H100,Isabela / Gabriela,300,Evelin,Thamile,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-47.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,371238241804606,TRUE,h100_construtora,17841455790864413,102515095983156,6231753396,#H100,,4,,,
Hospital do Polo,Cândida / Monique ,,Gisele,Adriele,9,3,,16,,,https://ugc.production.linktr.ee/7ad0aeb1-d32a-41b1-a006-82045d178632_WhatsApp-Image-2023-09-15-at-15.07.19.jpeg?io=true&size=avatar-v3_0,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,,,#HospitalDoPolo,,2,,2,
Infinity,Cândida / Monique ,200,Catharina,Daniel,12,4,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-37.jpg,TRUE,TRUE,TRUE,FALSE,FALSE,111711759610204,TRUE,infinity_academia,17841400520281199,591450547628719,,#InfinityAcademia,,,,,
INOOA,Crisler / Guilherme,200,Evelin,Adriele,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-8-2.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,282254286076923,TRUE,inooabahia,17841410978955566,100353772649479,,#INOOA,,,,,
Ivan Zanchi,Crisler / Guilherme,,Jéssica,Thamile,8,4,,16,,,https://media.licdn.com/dms/image/D4D03AQGmTcf7ltBDtQ/profile-displayphoto-shrink_800_800/0/1687978924401?e=1712793600&v=beta&t=99CDbHdIded8kK6cT4zAZhmRQtr2aF52tqEfECaQIE4,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,zanchi.ivan,,,,#IvanZanchi,,,,,
Kumon Alphaville Salvador,Impulsionamento Plus,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,338969688616955,FALSE,kumonalphaville,17841406087288631,730530723717874,,,,,,,
Life 60+,Paloma / Fabianne,300,Jéssica,Duda,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-18.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,1574043892991410,TRUE,life60mais,17841449810654044,103914605579045,,,,,,,
Mandala Marketing,Mariana M. / Maiane,,Ramon,Vitória,12,4,16,20,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/04/MANDALA-MKT.jpg,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE,mandalamarketing,17841403949094195,1774917342763749,,#MandalaMarketing,10870407,,,,
Me Abraça,Crisler / Guilherme,,Catharina,Duda,12,4,,20,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-40.jpg,TRUE,FALSE,TRUE,FALSE,TRUE,648580743632051,TRUE,blocomeabraca,17841402361255768,1109585595719094,,#BlocoMeAbraca,,,,,
MERIT Gourmet,Mariana M. / Maiane,,Catharina,Vitória,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/04/MERIT.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,meritgourmet,17841458271393164,111617515235781,,,,,,,
Meu Guia Oncologia,Crisler / Guilherme,,Jéssica,Daniel,9,3,,16,,,https://www.wolflair.com/wp-content/uploads/2017/01/placeholder.jpg,TRUE,FALSE,TRUE,FALSE,TRUE,805371531163830,TRUE,meuguiaoncologia,17841451728536422,101995609535109,,#MeuGuiaOncologia,,,,,
MM Metais ,Paloma / Fabianne / Ana Luísa,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,2,,1,
Mulheres na Oncologia,Paloma / Fabianne,200,Gisele,Thamile,6,2,,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/04/MULHERES-NA-OBCOLOGIA.jpg,TRUE,TRUE,FALSE,FALSE,FALSE,349501939697288,TRUE,mulheresnaoncologia,17841434728923059,109703274164071,,#MulheresnaOncologia,,,,,
HubNexxo,Júlia / Paloma,,Catharina,Daniel,9,3,,16,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-36-2.jpg,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,nexxoempresarial,17841409101858970,106387385346564,,#Hubnexxo ,,5,1,,
Ogunjá,Crisler / Guilherme,,Catharina,Adriele,9,3,,16,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-11-2.jpg,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,ogunjaoficial,17841400601170214,137897399606214,,#OgunjaArteDecor,,5,,1,
Oncogeriatria,Isabela / Gabriela ,200,Jéssica,Thamile,8,2,10,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/04/ONCOGERIATRIA.jpg,FALSE,TRUE,FALSE,TRUE,TRUE,2883187845242740,TRUE,"
oncogeriatriabrasil",17841412967654324,103453058440594,,#OncogeriatriaBrasil,75463512,,,,
Oncoresidentes,Paloma / Fabianne,200,Evelin,Adriele,6,2,8,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-44.jpg,FALSE,TRUE,FALSE,TRUE,TRUE,323676276169293,TRUE,oncoresidentes,17841439812192347,105776735061986,,#Oncoresidentes,81353415,,,,
Oncovida,Crisler / Guilherme,,Evelin,Thamile,9,3,,16,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,oncovidabahia,,,,#Oncovida,,2,1,,
Paraguaçu,Mariana M. / Maiane,200,Ramon,Vitória,6,2,8,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-24-2.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,884699348541336,TRUE,paraguacuengenharia,17841407290988003,17841407290988003,,#ParaguacuEngenharia,27144947,4,,,
Procardiaco,Paloma / Fabianne / Ana Luísa,,Evelin,Adriele,6,2,8,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-12-2.jpg,TRUE,FALSE,FALSE,TRUE,TRUE,782533655654875,TRUE,procardiacosalvador,17841402884219793,101210641736250,,#Procardiaco,24578096,2,,1,
QPC,Cândida / Monique ,,Ramon,Duda,6,2,8,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-21-2.jpg,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE,qpcincorporadora,17841445009332558,105068945261737,,#QPCIncorporadora,80406707,2,,1,
Rosana Dias,Impulsionamento Plus,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,1065883981050292,FALSE,_rosanadias,17841401153989971,281989278534170,,,,,,,
SAEB,Isabela / Gabriela ,300,Ramon,Adriele,15,5,,24,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-23-1.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,2509967812351970,TRUE,saebanestesia,17841408378789587,1450210921863825,,#SaebAnestesia,,,,,
