Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 1690929024383625,Negócio: FEDERACAO BRASILEIRA DAS COOP ANESTESIOLOGISTAS,SEPS 714 914 BL C N 30 SL 430 30,ASA SUL,"BRASILIA, DF 70390145",Brazil,CNPJ : 35797026000197

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7729871300460380-7783113605136155,"65,93",BRL
29/6/2024,7685029578277893-7777823372331845,"31,06",BRL
28/6/2024,7734371130010395-7783176295129881,"6,70",BRL
27/6/2024,7629779850469530-7674649945982523,"6,75",BRL
26/6/2024,7709754259138751-7724835247630650,"7,17",BRL
25/6/2024,7757832940997555-7768350609945783,"3,52",BRL
24/6/2024,7755376804576502-7898448580269319,"4,45",BRL
24/6/2024,7896717240442453-14761206,"200,00",BRL
24/6/2024,7714223825358459-7895780923869418,"8,86",BRL
23/6/2024,7905814032866104-7905814049532769,"8,02",BRL
22/6/2024,7752429731537871-7721137551333758,"7,59",BRL
21/6/2024,7785333184914196-7715756695205177,"7,09",BRL
20/6/2024,7742220059225505-7679996472114530,"7,40",BRL
19/6/2024,7774681859312662-7634087270038791,"7,52",BRL
18/6/2024,7670341753080002-7880840272030147,"7,01",BRL
17/6/2024,7624068911040627-7726721767442001,"8,92",BRL
16/6/2024,7870428243071350-7619098144871037,"8,28",BRL
15/6/2024,7685890854858428-7667793556668153,"7,51",BRL
14/6/2024,7711974655583379-7703735906407259,"4,47",BRL
,Valor total cobrado,"208,25",BRL
,Total de fundos adicionados,"200,00",BRL
