Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 371238241804606,Negócio: H 101 EMPREEND IMOBILIARIOS SPE LTDA,R CEL ALMERINDO REHEM 126 SL 714 ED EMP COSTA ANDRA,126 CAM DAS ARVORES,"SALVADOR, BA 41820768",Brazil,CNPJ : 37735568000160

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7852760371506619-7852760384839951,"95,97",BRL
29/6/2024,7769712869811368-7847234932059163,"52,05",BRL
28/6/2024,7820564451392879-7907237249392266,"29,40",BRL
27/6/2024,7957769887672332-7672405502875436,"29,31",BRL
26/6/2024,7754801304635858-7735643779884940,"34,25",BRL
25/6/2024,7750011495114839-7730642023718449,"0,26",BRL
24/6/2024,7717223665060288-7729440403838611,"45,25",BRL
24/6/2024,7659051957544124-15104239,"300,00",BRL
24/6/2024,7713350855447569-7801011606681497,"46,92",BRL
23/6/2024,7796231103826214-7699641446818516,"39,81",BRL
22/6/2024,7877110052404986-7694578210658173,"31,58",BRL
21/6/2024,7871795229603135-7785448211571170,"33,91",BRL
20/6/2024,7714047735377880-15093309,"1.000,00",BRL
20/6/2024,7923783297737658-15092702,"45,25",BRL
19/6/2024,7775813642534627-15089326,"45,98",BRL
18/6/2024,7856630467786278-15085827,"46,78",BRL
17/6/2024,7698465793602741-15082321,"47,15",BRL
16/6/2024,7780459072070083-15079511,"41,22",BRL
15/6/2024,7689339527848701-15076400,"37,55",BRL
14/6/2024,7684649521651035-15072401,"37,19",BRL
13/6/2024,7765634836885840-15068681,"32,88",BRL
12/6/2024,7742203259228999-15065053,"34,40",BRL
11/6/2024,7822334551215870-15061612,"34,27",BRL
10/6/2024,7817159255066733-15058273,"35,27",BRL
9/6/2024,7745097618939562-15055245,"32,36",BRL
8/6/2024,7656192267830094-15052032,"32,64",BRL
7/6/2024,7618923081557020-15048377,"28,93",BRL
6/6/2024,7645789512203703-15044752,"32,45",BRL
5/6/2024,7793691897413469-15041267,"33,22",BRL
4/6/2024,7647022925413697-15037766,"33,98",BRL
3/6/2024,7598285176954144-15034365,"34,62",BRL
2/6/2024,7549987908450530-15031305,"23,56",BRL
1/6/2024,7622417971207524-15027643,"19,31",BRL
,Valor total cobrado,"1.147,72",BRL
,Total de fundos adicionados,"1.300,00",BRL
