Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 497883240736978,Negócio: MANDALA MARKETING LTDA,LUIS VIANA FILHO,7532 ALPHAVILLE I,"SALVADOR, BA 41701005",Brazil,CNPJ : 24537702000177

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7430885263689849-7531021770342871,"5,86",BRL
29/6/2024,7435764763201907-7435764776535239,"5,49",BRL
28/6/2024,7419420778169631-7579663342145376,"5,62",BRL
27/6/2024,7425490064229371-7425700194208364,"1,98",BRL
26/6/2024,7395134823931564-7386461238132258,"0,20",BRL
26/6/2024,7386326248145757-7423151561129888,"0,49",BRL
26/6/2024,7451212308323810-7451212311657143,"0,20",BRL
26/6/2024,7511831375595244-7411657445612631,"2,11",BRL
26/6/2024,7383462848432097-7569075583204152,"0,41",BRL
26/6/2024,7420118178099899-7568638936581150,"5,50",BRL
25/6/2024,7504698549641860-7404530929658616,"0,06",BRL
25/6/2024,7564094913702219-7564094927035551,"4,81",BRL
24/6/2024,7501038550007860-14746927,"200,00",BRL
24/6/2024,7501036043341444-7383147981796915,"1,39",BRL
24/6/2024,7374526259325756-7382315628546817,"6,33",BRL
23/6/2024,7554983961279981-7499685490143160,"6,06",BRL
22/6/2024,7372406656204381-7401306633314381,"4,28",BRL
21/6/2024,7489759347802441-7384406971671012,"1,25",BRL
21/6/2024,7423951577716550-7367031036741943,"1,34",BRL
20/6/2024,7381694345275608-7482463798532002,"4,44",BRL
20/6/2024,7378772035567839-7539742912804086,"6,13",BRL
19/6/2024,7373851629393213-7350222225089493,"6,12",BRL
18/6/2024,7247492902029092-7381384565306588,"6,18",BRL
17/6/2024,7363564143755295-7468072119971164,"6,47",BRL
16/6/2024,7370899089688469-7458065294305186,"6,04",BRL
15/6/2024,7367408206704230-7393568787421496,"5,49",BRL
14/6/2024,7388633957914979-7332360586875655,"3,76",BRL
,Valor total cobrado,"98,01",BRL
,Total de fundos adicionados,"200,00",BRL
