Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 884699348541336,Negócio: PARAGUACU ENGENHARIA LTDA,AV JURACY MAGALHAES JUNIOR 500 SL 401 ED PROFISSIONAL JC,500 RIO VERMELHO,"SALVADOR, BA 41940060",Brazil,CNPJ : 34375501000174

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7867343123380977-7776321962483091,"62,57",BRL
29/6/2024,7854445448004079-7799420283506594,"23,33",BRL
28/6/2024,7848823165232974-8985345811580699,"5,60",BRL
27/6/2024,7801199873328631-7729701683811785,"5,72",BRL
26/6/2024,7691274844321143-7725160150932605,"5,94",BRL
25/6/2024,7720470574734896-7981931715255448,"6,16",BRL
24/6/2024,7836868696428420-7829370157178275,"6,48",BRL
23/6/2024,7676325022482792-7710584362390184,"6,07",BRL
22/6/2024,7736009433181011-7705475359567751,"5,42",BRL
21/6/2024,7700269603421660-7813993668715924,"5,69",BRL
20/6/2024,7695335163915104-14642971,"5,99",BRL
19/6/2024,7804331396348818-14639574,"5,27",BRL
18/6/2024,7685238148258139-14636023,"7,30",BRL
17/6/2024,8930667413715206-14632481,"6,45",BRL
16/6/2024,7705528702895751-14629510,"6,18",BRL
15/6/2024,8921219024660045-14625973,"6,01",BRL
14/6/2024,7785043988277558-14622084,"2,46",BRL
11/6/2024,7769184796530144-14611402,"3,98",BRL
10/6/2024,7765381073577177-14608262,"19,55",BRL
9/6/2024,7754481404667151-14605109,"20,67",BRL
8/6/2024,7754873327961291-14601782,"19,54",BRL
7/6/2024,7630391290409492-14597934,"17,51",BRL
6/6/2024,7697361310379155-14594050,"18,00",BRL
5/6/2024,7882018475246773-14590463,"18,17",BRL
4/6/2024,7736159733165978-14586811,"19,06",BRL
3/6/2024,7730687233713228-14583271,"13,52",BRL
,Valor total cobrado,"322,64",BRL
