Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 797991517383906,Negócio: MANDALA MARKETING LTDA,LUIS VIANA FILHO,7532 ALPHAVILLE I,"SALVADOR, BA 41701005",Brazil,CNPJ : 24537702000177

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7732768176840175-7596490883801236,"47,99",BRL
29/6/2024,7652360234880963-7705511646232491,"48,89",BRL
28/6/2024,7658925414224444-7658925430891109,"48,34",BRL
27/6/2024,7653521448098174-7716267631823564,"48,54",BRL
26/6/2024,7710285329088454-7712631155520544,"50,69",BRL
25/6/2024,7685327974917525-7685327984917524,"52,49",BRL
24/6/2024,7700469866736667-7757643094352678,"53,06",BRL
23/6/2024,7697438903706436-7752795261504128,"46,18",BRL
22/6/2024,7557229057727419-7758236560960001,"47,85",BRL
21/6/2024,7623213207795665-7664222830361373,"44,81",BRL
20/6/2024,7738457249604596-14732659,"1.500,00",BRL
20/6/2024,7747954038654920-7681676198616041,"49,14",BRL
19/6/2024,7675246415925679-7542451939205131,"50,22",BRL
18/6/2024,7738044719645852-7607623356021317,"13,64",BRL
17/6/2024,7669535299830131-7805775606206097,"38,50",BRL
17/6/2024,7602322023218117-7666872356763092,"53,77",BRL
16/6/2024,7661989587251369-7660517917398529,"47,89",BRL
15/6/2024,7580894855360835-7654682097982117,"49,59",BRL
14/6/2024,7587168554733464-7789159741201017,"46,59",BRL
13/6/2024,7571364129647241-7646209035496084,"49,31",BRL
12/6/2024,7509431615840497-7639370872846573,"50,78",BRL
11/6/2024,7633875823396078-7774574675992857,"52,60",BRL
10/6/2024,7556433551140299-7769622879821370,"53,26",BRL
9/6/2024,7626237550826573-7684985551618433,"49,01",BRL
8/6/2024,7547074022076252-7490551677728491,"49,22",BRL
7/6/2024,7551960634920923-7675259539257701,"48,26",BRL
6/6/2024,7537329229717398-7591851910931799,"49,48",BRL
5/6/2024,7606213359495652-7532448403538814,"49,87",BRL
4/6/2024,7600580973392231-7470182953098697,"82,01",BRL
3/6/2024,7654561184660870-7465322026918123,"116,75",BRL
2/6/2024,7728478770602448-7591064661010529,"109,38",BRL
1/6/2024,7585584561558538-7588263614623960,"108,29",BRL
,Valor total cobrado,"1.706,40",BRL
,Total de fundos adicionados,"1.500,00",BRL
