Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 536784921593524,Negócio: SMF BRISAS MARINHAS RESIDENCE SPE LTDA,AV ANTONIO CARLOS MAGALHAES 2501 ED GOLDEN PLAZA SL 1104,2501 BROTAS,"SALVADOR, BA 40280901",Brazil,CNPJ : 35747512000109

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7712637358853431-7628331937283976,"100,96",BRL
29/6/2024,7801522389964928-7727508947366278,"101,00",BRL
28/6/2024,7722157917901381-7617266638390506,"93,44",BRL
27/6/2024,7826260407491132-7671365656313938,"101,96",BRL
26/6/2024,7733203233463514-7690382334412272,"102,40",BRL
25/6/2024,7708295909287582-7667651676685331,"104,35",BRL
24/6/2024,7776637069120127-7662577573859408,"95,11",BRL
23/6/2024,7717497971700707-7657347697715729,"102,46",BRL
22/6/2024,7711842365599601-7646993228751181,"95,52",BRL
21/6/2024,7688367137947126-7582131571904013,"93,15",BRL
20/6/2024,7637850746332096-14791202,"3.000,00",BRL
20/6/2024,7641980079252491-7577217255728778,"92,61",BRL
19/6/2024,7654682307982270-7654682314648936,"97,45",BRL
18/6/2024,7747050322078802-7650650898385416,"96,67",BRL
17/6/2024,7654235681360265-7742115522572282,"109,12",BRL
16/6/2024,7737495656367602-7556844647766039,"121,39",BRL
15/6/2024,7766185370165303-7659698957480611,"117,04",BRL
14/6/2024,7608011935982644-7760777314039442,"121,66",BRL
13/6/2024,7603237469793424-7626723420778164,"114,56",BRL
12/6/2024,7645162215600952-7629547260495774,"121,57",BRL
11/6/2024,7655963377854167-7598271903623309,"96,55",BRL
5/6/2024,7682052495245252-7594345734015927,"55,56",BRL
4/6/2024,7677019039081931-7588994064551094,"102,54",BRL
3/6/2024,7559167604200406-7614691521981353,"106,41",BRL
2/6/2024,7551709841612854-7597602383690269,"97,21",BRL
1/6/2024,7593415190775655-7550519875065179,"100,07",BRL
,Valor total cobrado,"2.540,76",BRL
,Total de fundos adicionados,"3.000,00",BRL
