Informações da Meta
FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,CNPJ: 13.347.016/0001-17,Av Brigadeiro Faria Lima 3732,"Andar 1 a 4, 6 a 12, 14 e 15",Itaim bibi - Sao Paulo - SP,CEP 04538-132

Informações do anunciante
Conta: 537979347000456,Negócio: NAVAJO ITAIGARA EMPREEND IMOBILIARIOS SPE LTDA,R CEL ALMERINDO REHEM 126 SL 1014,126 CAM DAS ARVORES,"SALVADOR, BA 41820768",Brazil,CNPJ : 38049937000124

Relatório de cobrança: 31/5/2024 a 30/6/2024

Pagamento de Anúncios da Meta
Forma de pagamento: N/D
Data,Identificação da transação,Valor,Moeda
30/6/2024,7704433163004505-14640429,"43,06",BRL
29/6/2024,7802785633169256-14637667,"48,67",BRL
28/6/2024,7706307176150435-14633595,"49,56",BRL
27/6/2024,7740790249368797-14630532,"51,11",BRL
26/6/2024,7760893070691844-14627512,"51,69",BRL
25/6/2024,7755993001181851-14624366,"52,30",BRL
24/6/2024,7686013174846502-14621394,"53,62",BRL
23/6/2024,7727638370683990-14618617,"46,37",BRL
22/6/2024,7652502848197542-14616077,"46,11",BRL
21/6/2024,7734086506705834-14612442,"64,01",BRL
20/6/2024,7815411628573327-14609328,"70,44",BRL
19/6/2024,7637509833030177-14605536,"69,52",BRL
18/6/2024,7805697092878114-14602019,"74,07",BRL
17/6/2024,7637185626395926-14598401,"85,88",BRL
16/6/2024,7795353813912442-14595366,"84,90",BRL
15/6/2024,7617075185073642-14592015,"88,03",BRL
14/6/2024,8053040978143722-14588143,"71,67",BRL
13/6/2024,7695258720588613-14584512,"61,87",BRL
12/6/2024,7775384059242751-14580863,"51,15",BRL
11/6/2024,7771402632974227-14578287,"2.000,00",BRL
11/6/2024,7769891826458641-14577260,"52,81",BRL
10/6/2024,8033373526777134-14573873,"52,87",BRL
9/6/2024,7699360023511818-14570605,"45,25",BRL
8/6/2024,7605156679598819-14567306,"48,33",BRL
7/6/2024,8019212258193261-14563435,"48,10",BRL
6/6/2024,7594829320631555-14559687,"56,78",BRL
5/6/2024,7655376757910150-14556131,"73,72",BRL
4/6/2024,7631921320255696-14552707,"72,80",BRL
3/6/2024,7670200163094471-14549172,"107,92",BRL
2/6/2024,7665933566854464-14546180,"117,18",BRL
1/6/2024,7718347724946385-14542493,"115,63",BRL
,Valor total cobrado,"1.955,42",BRL
,Total de fundos adicionados,"2.000,00",BRL
